,feature,gini_value
0,atemp,0.31291684189684144
1,year,0.2665424051906786
2,temp,0.1964169218750265
3,hum,0.08763677376838158
4,season,0.04832686155664777
5,day_in_month,0.04538009704176809
6,mnth,0.02888980554322532
7,windspeed,0.01389029312743066
8,holiday,0.0
9,weekday,0.0
10,workingday,0.0
11,weathersit,0.0
